"","SVM_PRECISION","SVM_RECALL","SVM_FSCORE","SLDA_PRECISION","SLDA_RECALL","SLDA_FSCORE","LOGITBOOST_PRECISION","LOGITBOOST_RECALL","LOGITBOOST_FSCORE","BAGGING_PRECISION","BAGGING_RECALL","BAGGING_FSCORE","GLMNET_PRECISION","GLMNET_RECALL","GLMNET_FSCORE","TREE_PRECISION","TREE_RECALL","TREE_FSCORE","MAXENTROPY_PRECISION","MAXENTROPY_RECALL","MAXENTROPY_FSCORE"
"1",0.81,0.82,0.81,0.79,0.77,0.78,0.73,0.88,0.8,0.74,0.86,0.8,0.79,0.8,0.79,0.72,0.91,0.8,0.79,0.83,0.81
"2",0.64,0.62,0.63,0.58,0.61,0.59,0.62,0.38,0.47,0.62,0.42,0.5,0.6,0.58,0.59,0.66,0.33,0.44,0.63,0.57,0.6
