"","SVM_PRECISION","SVM_RECALL","SVM_FSCORE","SLDA_PRECISION","SLDA_RECALL","SLDA_FSCORE","LOGITBOOST_PRECISION","LOGITBOOST_RECALL","LOGITBOOST_FSCORE","BAGGING_PRECISION","BAGGING_RECALL","BAGGING_FSCORE","GLMNET_PRECISION","GLMNET_RECALL","GLMNET_FSCORE","TREE_PRECISION","TREE_RECALL","TREE_FSCORE","MAXENTROPY_PRECISION","MAXENTROPY_RECALL","MAXENTROPY_FSCORE"
"1",0.84,0.78,0.81,0.77,0.66,0.71,0.75,0.79,0.77,0.77,0.84,0.8,0.82,0.81,0.81,0.85,0.47,0.61,0.83,0.76,0.79
"2",0.64,0.73,0.68,0.51,0.65,0.57,0.57,0.52,0.54,0.64,0.54,0.59,0.65,0.66,0.65,0.46,0.85,0.6,0.62,0.72,0.67
